Guid;Kursus
296A12ED-21A0-431C-9666-EE9C1A4ABE02;02411 Statistisk forsøgsplanlægning
296A12ED-21A0-431C-9666-EE9C1A4ABE02;02411 Statistisk forsøgsplanlægning F09
102B04AF-69FD-40E2-8168-2B31E76678B5;02685 Scientific Computing for differentialligninger F09
102B04AF-69FD-40E2-8168-2B31E76678B5;02931 Videnskabelige GPU beregninger F11
102B04AF-69FD-40E2-8168-2B31E76678B5;02689 Videregående numeriske metoder til løsning af differentialligninger E11
102B04AF-69FD-40E2-8168-2B31E76678B5;02605 Matrix beregninger F09
BA5A664B-1A2B-4488-B353-6E9B6D031DFA;02633 Indledende programmering med Matlab Jan 09
79577D1E-917F-40A1-875E-2035EAB00D98;02335 Netteknologi A E08
79577D1E-917F-40A1-875E-2035EAB00D98;02159 Operativsystemer E09
79577D1E-917F-40A1-875E-2035EAB00D98;02152 Parallelle systemer E08
79577D1E-917F-40A1-875E-2035EAB00D98;02162 Software Engineering 2 E08
22EE0AAC-31A3-4282-AA6F-48141240CD17;02835 Kravspecifikation E09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02233 Netværkssikkerhed F09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02238 Biometriske Systemer Jun 09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02261 Usability engineering Jan 09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02393 Programmering i C++ F09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02234 Aktuelle Emner i Systemsikkerhed E08
22EE0AAC-31A3-4282-AA6F-48141240CD17;02393 Programmering i C++ E09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02857 Informations- og kommunikationsteknologi - markeder og forretningsmodeller F09
22EE0AAC-31A3-4282-AA6F-48141240CD17;02393 Programmering i C++ E10
3DD0E4D8-2B14-499D-A65B-6425167F20F6;02409 Multivariat statistik E08
872F332B-281C-46CC-8829-6581DE035B7D;02321 Hardware/Software Programmering
872F332B-281C-46CC-8829-6581DE035B7D;02344 OOAD og databaser E11
872F332B-281C-46CC-8829-6581DE035B7D;02311 Digitalteknik F11
872F332B-281C-46CC-8829-6581DE035B7D;02342 Distribuerede Systemer
872F332B-281C-46CC-8829-6581DE035B7D;02326 Algoritmer og Datastrukturer F11
872F332B-281C-46CC-8829-6581DE035B7D;02343 CDIO-Projekt
